年月日,気圧,気温,風速(m/s),風向(°)
2023/1/1/9,1018.2,1.2,82.0,2.5,270.0
2023/1/1/21,1013.7,1.9,79.0,1.8,350.0
2023/1/2/9,1016.7,1.6,78.0,1.1,150.0
2023/1/2/21,1016.6,0.8,55.0,2.0,300.0
2023/1/3/9,1016.2,4.1,43.0,1.8,300.0
2023/1/3/21,1014.8,0.9,59.0,1.4,300.0
2023/1/4/9,1015.5,3.2,57.0,3.3,320.0
2023/1/4/21,1016.9,0.8,62.0,1.4,280.0
2023/1/5/9,1019.7,3.8,47.0,3.5,270.0
2023/1/5/21,1019.0,4.0,41.0,2.7,290.0
2023/1/6/9,1019.7,0.3,66.0,0.6,280.0
2023/1/6/21,1015.5,2.9,70.0,0.9,100.0
2023/1/7/9,1011.7,2.1,75.0,0.8,280.0
2023/1/7/21,1009.8,1.5,92.0,1.7,30.0
2023/1/8/9,1016.7,1.5,79.0,1.9,310.0
2023/1/8/21,1018.5,6.6,56.0,1.7,70.0
2023/1/9/9,1016.8,2.7,75.0,0.9,260.0
2023/1/9/21,1009.3,3.2,81.0,1.2,300.0
2023/1/10/9,1012.8,5.4,42.0,4.8,280.0
2023/1/10/21,1018.8,-0.5,63.0,1.3,80.0
2023/1/11/9,1022.5,0.9,65.0,1.6,320.0
2023/1/11/21,1021.9,0.6,72.0,1.0,170.0
2023/1/12/9,1022.2,1.0,74.0,0.3,280.0
2023/1/12/21,1021.5,2.7,71.0,1.7,320.0
2023/1/13/9,1022.2,3.6,69.0,1.2,280.0
2023/1/13/21,1013.3,7.6,66.0,0.7,230.0
2023/1/14/9,1007.2,5.4,89.0,1.0,240.0
2023/1/14/21,1002.1,7.0,99.0,1.5,300.0
