年月日,気圧,気温,風速(m/s),風向(°)
2023/1/1/9,1018.2,1.2,82.0,2.5,270.0
2023/1/1/21,1013.7,1.9,79.0,1.8,350.0
2023/1/2/9,1016.7,1.6,78.0,1.1,150.0
2023/1/2/21,1016.6,0.8,55.0,2.0,300.0
2023/1/3/9,1016.2,4.1,43.0,1.8,300.0
2023/1/3/21,1014.8,0.9,59.0,1.4,300.0
2023/1/4/9,1015.5,3.2,57.0,3.3,320.0
2023/1/4/21,1016.9,0.8,62.0,1.4,280.0
2023/1/5/9,1019.7,3.8,47.0,3.5,270.0
2023/1/5/21,1019.0,4.0,41.0,2.7,290.0
2023/1/6/9,1019.7,0.3,66.0,0.6,280.0
2023/1/6/21,1015.5,2.9,70.0,0.9,100.0
2023/1/7/9,1011.7,2.1,75.0,0.8,280.0
2023/1/7/21,1009.8,1.5,92.0,1.7,30.0
2023/1/8/9,1016.7,1.5,79.0,1.9,310.0
2023/1/8/21,1018.5,6.6,56.0,1.7,70.0
2023/1/9/9,1016.8,2.7,75.0,0.9,260.0
2023/1/9/21,1009.3,3.2,81.0,1.2,300.0
2023/1/10/9,1012.8,5.4,42.0,4.8,280.0
2023/1/10/21,1018.8,-0.5,63.0,1.3,80.0
2023/1/11/9,1022.5,0.9,65.0,1.6,320.0
2023/1/11/21,1021.9,0.6,72.0,1.0,170.0
2023/1/12/9,1022.2,1.0,74.0,0.3,280.0
2023/1/12/21,1021.5,2.7,71.0,1.7,320.0
2023/1/13/9,1022.2,3.6,69.0,1.2,280.0
2023/1/13/21,1013.3,7.6,66.0,0.7,230.0
2023/1/14/9,1007.2,5.4,89.0,1.0,240.0
2023/1/14/21,1002.1,7.0,99.0,1.5,300.0
2023/1/15/9,1008.3,9.7,74.0,2.2,60.0
2023/1/15/21,1008.3,7.8,98.0,1.7,20.0
2023/1/16/9,1006.1,6.2,100.0,1.7,360.0
2023/1/16/21,1012.5,2.0,100.0,1.5,270.0
2023/1/17/9,1020.4,0.0,99.0,1.1,360.0
2023/1/17/21,1019.7,3.1,81.0,0.4,70.0
2023/1/18/9,1014.6,3.6,87.0,1.1,290.0
2023/1/18/21,1013.9,6.9,62.0,2.6,50.0
2023/1/19/9,1020.0,3.8,62.0,1.4,30.0
2023/1/19/21,1018.9,5.5,70.0,1.2,40.0
2023/1/20/9,1013.5,4.7,88.0,0.7,290.0
2023/1/20/21,1007.9,7.7,50.0,2.0,270.0
2023/1/21/9,1018.3,4.1,37.0,3.4,330.0
2023/1/21/21,1022.2,2.0,50.0,1.5,100.0
2023/1/22/9,1023.4,0.5,67.0,1.2,310.0
2023/1/22/21,1021.2,2.1,75.0,1.3,30.0
2023/1/23/9,1018.8,3.3,86.0,2.2,20.0
2023/1/23/21,1011.8,2.2,96.0,0.3,300.0
2023/1/24/9,999.9,1.5,95.0,1.4,310.0
2023/1/24/21,996.5,-1.9,78.0,4.3,340.0
2023/1/25/9,1011.1,-2.0,36.0,5.4,280.0
2023/1/25/21,1015.5,-1.7,34.0,3.6,280.0
2023/1/26/9,1016.0,0.4,35.0,1.9,260.0
2023/1/26/21,1012.8,0.6,68.0,2.2,310.0
2023/1/27/9,1009.5,0.9,71.0,1.0,260.0
2023/1/27/21,998.9,2.8,85.0,1.8,310.0
2023/1/28/9,1006.3,1.4,57.0,2.5,270.0
2023/1/28/21,1007.1,-2.2,58.0,1.8,40.0
2023/1/29/9,1012.2,-0.9,60.0,0.4,180.0
2023/1/29/21,1010.4,-0.4,73.0,1.7,100.0
2023/1/30/9,1009.6,-0.1,73.0,1.7,310.0
2023/1/30/21,1010.0,2.9,39.0,2.7,320.0
2023/1/31/9,1016.3,2.2,47.0,4.1,330.0
2023/1/31/21,1015.7,2.7,52.0,1.4,150.0
2023/2/1/9,1014.8,0.7,53.0,1.3,310.0
2023/2/1/21,1004.7,3.9,63.0,1.3,200.0
2023/2/2/9,1013.5,5.8,27.0,7.2,320.0
2023/2/2/21,1016.6,2.9,45.0,0.3,120.0
2023/2/3/9,1018.0,2.9,48.0,0.6,40.0
2023/2/3/21,1016.1,4.2,46.0,1.5,30.0
2023/2/4/9,1016.0,2.9,61.0,0.5,280.0
2023/2/4/21,1012.3,3.4,95.0,1.7,360.0
2023/2/5/9,1020.1,3.7,58.0,0.3,240.0
2023/2/5/21,1019.7,3.8,77.0,1.4,70.0
2023/2/6/9,1018.7,4.1,66.0,2.5,300.0
2023/2/6/21,1017.1,6.2,64.0,1.6,50.0
2023/2/7/9,1017.5,6.5,67.0,1.4,340.0
2023/2/7/21,1012.8,9.4,77.0,3.5,40.0
2023/2/8/9,1013.4,7.4,73.0,2.3,40.0
2023/2/8/21,1015.8,4.8,89.0,1.6,20.0
2023/2/9/9,1022.7,5.4,46.0,1.6,270.0
2023/2/9/21,1026.4,0.0,52.0,1.2,100.0
2023/2/10/9,1024.5,1.1,75.0,2.0,290.0
2023/2/10/21,1010.5,2.5,100.0,2.1,300.0
2023/2/11/9,1014.0,6.9,86.0,0.7,310.0
2023/2/11/21,1021.4,6.0,67.0,1.7,60.0
2023/2/12/9,1021.2,5.6,69.0,1.1,290.0
2023/2/12/21,1015.0,11.1,73.0,2.5,60.0
2023/2/13/9,1008.9,8.2,91.0,3.2,40.0
2023/2/13/21,1003.4,5.1,96.0,1.2,10.0
2023/2/14/9,1007.4,3.4,65.0,1.1,160.0
2023/2/14/21,1009.1,3.1,38.0,5.9,310.0
2023/2/15/9,1016.4,2.5,41.0,2.7,330.0
2023/2/15/21,1021.0,-1.8,58.0,1.0,30.0
2023/2/16/9,1026.0,0.3,51.0,0.9,170.0
2023/2/16/21,1025.4,0.3,71.0,1.3,90.0
2023/2/17/9,1024.9,0.5,67.0,1.9,320.0
2023/2/17/21,1022.3,2.6,94.0,1.0,30.0
2023/2/18/9,1022.5,3.7,84.0,0.9,310.0
2023/2/18/21,1016.2,7.4,84.0,1.6,30.0
2023/2/19/9,1004.0,6.7,82.0,0.5,250.0
2023/2/19/21,1001.7,12.3,53.0,1.1,240.0
2023/2/20/9,1007.8,9.4,41.0,1.2,330.0
2023/2/20/21,1009.7,2.3,95.0,3.3,50.0
2023/2/21/9,1019.0,2.9,51.0,3.2,280.0
2023/2/21/21,1023.7,1.7,37.0,2.8,310.0
2023/2/22/9,1028.6,1.7,46.0,0.9,310.0
2023/2/22/21,1025.1,2.3,77.0,1.3,90.0
2023/2/23/9,1019.6,4.0,66.0,1.5,240.0
2023/2/23/21,1015.0,7.8,82.0,2.2,50.0
2023/2/24/9,1015.1,5.5,78.0,1.8,320.0
2023/2/24/21,1012.9,7.9,99.0,1.0,360.0
2023/2/25/9,1015.3,5.0,100.0,0.6,260.0
2023/2/25/21,1018.3,5.6,49.0,1.6,40.0
2023/2/26/9,1023.5,4.6,42.0,3.4,300.0
2023/2/26/21,1023.6,5.4,38.0,4.8,290.0
2023/2/27/9,1029.8,5.1,55.0,1.5,100.0
2023/2/27/21,1028.3,6.4,59.0,1.9,120.0
2023/2/28/9,1026.7,5.5,58.0,1.0,280.0
2023/2/28/21,1019.5,11.9,55.0,3.2,180.0
2023/2/29/9,1026.7,5.5,58.0,1.0,280.0
2023/2/29/21,1019.5,11.9,55.0,3.2,180.0
2023/2/30/9,1026.7,5.5,58.0,1.0,280.0
2023/2/30/21,1019.5,11.9,55.0,3.2,180.0
2023/2/31/9,1026.7,5.5,58.0,1.0,280.0
2023/2/31/21,1019.5,11.9,55.0,3.2,180.0
2023/3/1/9,1018.9,5.8,66.0,0.8,280.0
2023/3/1/21,1011.2,14.2,58.0,2.4,200.0
2023/3/2/9,1004.2,12.9,78.0,2.0,290.0
2023/3/2/21,1014.5,6.4,52.0,2.6,350.0
2023/3/3/9,1022.3,5.8,50.0,1.2,220.0
2023/3/3/21,1022.6,5.2,67.0,1.4,90.0
2023/3/4/9,1023.1,6.9,57.0,2.0,310.0
2023/3/4/21,1021.8,9.2,63.0,2.0,50.0
2023/3/5/9,1025.6,8.1,51.0,3.1,30.0
2023/3/5/21,1023.2,8.4,65.0,2.2,50.0
2023/3/6/9,1022.0,8.6,89.0,1.0,330.0
2023/3/6/21,1018.3,5.5,96.0,1.4,270.0
2023/3/7/9,1019.8,7.7,88.0,1.4,320.0
2023/3/7/21,1018.8,10.3,72.0,1.7,160.0
2023/3/8/9,1020.5,9.2,79.0,0.8,260.0
2023/3/8/21,1017.6,11.5,67.0,0.5,70.0
2023/3/9/9,1019.0,10.9,62.0,1.2,280.0
2023/3/9/21,1015.6,15.5,68.0,3.9,170.0
2023/3/10/9,1014.4,17.8,52.0,5.0,200.0
2023/3/10/21,1017.5,13.7,52.0,1.7,60.0
2023/3/11/9,1023.3,10.8,55.0,0.8,350.0
2023/3/11/21,1024.7,9.3,75.0,1.2,110.0
2023/3/12/9,1024.3,12.2,67.0,1.0,310.0
2023/3/12/21,1019.4,14.6,68.0,2.7,160.0
2023/3/13/9,1011.5,16.2,64.0,6.0,160.0
2023/3/13/21,1010.6,9.1,80.0,3.5,30.0
2023/3/14/9,1019.4,6.7,66.0,2.8,60.0
2023/3/14/21,1022.5,7.6,71.0,1.5,70.0
2023/3/15/9,1026.1,10.5,62.0,1.0,340.0
2023/3/15/21,1024.8,9.0,79.0,1.0,80.0
2023/3/16/9,1023.0,11.7,75.0,1.1,280.0
2023/3/16/21,1017.6,14.5,73.0,2.3,150.0
2023/3/17/9,1019.1,12.2,74.0,3.2,50.0
2023/3/17/21,1018.7,9.8,80.0,2.9,40.0
2023/3/18/9,1013.7,7.5,99.0,1.5,280.0
